,Year of car manufacture,Width,Color,kilometer driven,Transmission type,price,Body type,Length,Brand Name,Fuel type,city,Seats,Car model,Number of previous owners,Insurance Validity_value,Engine Displacement_value(cc)
715,2021,1790mm,Black,40000,Automatic,1900000.0,SUV,4500mm,Hyundai,Petrol,chennai,6.0,Hyundai Alcazar,1,Third Party insurance,1999
716,2020,1800mm,Blue,27000,Automatic,1425000.0,SUV,4315mm,Kia,Petrol,chennai,5.0,Kia Seltos,1,Comprehensive,1497
717,2018,1515mm,Red,20950,Automatic,409999.99999999994,Hatchback,3545mm,Maruti,Petrol,chennai,5.0,Maruti Alto K10,1,Comprehensive,998
718,2018,1818mm,Others,50000,Manual,1250000.0,SUV,4395mm,Jeep,Diesel,chennai,5.0,Jeep Compass,1,Third Party insurance,1956
719,2014,1495mm,Purple,39000,Manual,125000.0,Hatchback,3099mm  ,Tata,Petrol,chennai,4.0,Tata Nano,1,Third Party insurance,624
720,2017,1780mm,White,55927,Manual,902999.9999999999,SUV,4270mm,Hyundai,Petrol,chennai,5.0,Hyundai Creta,1,Comprehensive,1591
721,2014,1734mm,Red,35325,Manual,488000.0,Hatchback,3985mm,Hyundai,Petrol,chennai,5.0,Hyundai i20,2,Comprehensive,1197
722,2020,1745mm,Red,20000,Manual,660000.0,Hatchback,3995mm,Maruti,Petrol,chennai,5.0,Maruti Baleno,2,Third Party insurance,1197
723,2017,1734mm,Red,41248,Manual,604000.0,Hatchback,3985mm,Hyundai,Petrol,chennai,5.0,Hyundai i20,1,Third Party insurance,1197
724,2016,1647mm,Brown,70076,Manual,417000.0,Hatchback,3746mm,Tata,Petrol,chennai,5.0,Tata Tiago,1,Third Party,1199
725,2016,1821mm,SILKY SILVER,128398,Manual,405000.0,SUV,3995mm,Mahindra,Petrol,chennai,5.0,Mahindra XUV300,1,Comprehensive,1197
726,2017,1495mm,White,20973,Automatic,444000.00000000006,Hatchback,3599mm,Maruti,Petrol,chennai,5.0,Maruti Wagon R,3,Comprehensive,998
727,2007,1690mm,Others,90000,Manual,220000.00000000003,Hatchback,3760mm,Maruti,Petrol,chennai,5.0,Maruti Swift,2,Third Party insurance,1298
728,2020,1680,White,98807,Manual,615000.0,Sedan,3995mm,Hyundai,Petrol,chennai,5.0,Hyundai Aura,1,Comprehensive,1197
